Trial_num,image_path,image_name,object_type
Trial # 119/300,Object2/mochi/mochi11.jpg,mochi11,mochi
Trial # 120/300,Object2/wood/wood14.jpg,wood14,wood
Trial # 121/300,Object2/FrostedGlass/frostedglass3.jpg,frostedglass3,FrostedGlass
Trial # 122/300,Object2/scallops/Scallops3.jpg,Scallops3,scallops
Trial # 123/300,Object2/carrot/carrotslice1.jpg,carrotslice1,carrot
Trial # 124/300,Object2/JellyMooncake/JellyMooncake1.jpg,JellyMooncake1,JellyMooncake
Trial # 125/300,Object2/meat/meat1BB.jpg,meat1BB,meat
Trial # 126/300,Object2/cheese/cheese7.jpg,cheese7,cheese
Trial # 127/300,Object2/soaps/ambersoap.jpg,ambersoap,soaps
Trial # 128/300,Object2/honeycomb/honeycomb3.jpg,honeycomb3,honeycomb
Trial # 129/300,Object2/plastic/cheesekeycap.jpg,cheesekeycap,plastic
Trial # 130/300,Object2/marble/marble3.jpg,marble3,marble
Trial # 131/300,Object2/banana/SlicedBanana2.jpg,SlicedBanana2,banana
Trial # 132/300,Object2/waxcube/waxcube3.jpg,waxcube3,waxcube
Trial # 133/300,Object2/mantou/mantou1.jpg,mantou1,mantou
Trial # 134/300,Object2/fudge/fudge4.jpg,fudge4,fudge
Trial # 135/300,Object2/raspberry/raspberry3.jpg,raspberry3,raspberry
Trial # 136/300,Object2/butter/butter1.jpg,butter1,butter
Trial # 137/300,Object2/tofu/tofu2.jpg,tofu2,tofu
Trial # 138/300,Object2/hamslice/hamslice2.jpg,hamslice2,hamslice
Trial # 139/300,Object2/gummi/bearBB.jpg,bearBB,gummi
Trial # 140/300,Object2/cheesewax/cheesewax4.jpg,cheesewax4,cheesewax
Trial # 141/300,Object2/avacado/avacado6.jpg,avacado6,avacado
Trial # 142/300,Object2/ivory/ivory2.jpg,ivory2,ivory
Trial # 143/300,Object2/jello/jello2.jpg,jello2,jello
Trial # 144/300,Object2/crystal/quartz64.jpg,quartz64,crystal
Trial # 145/300,Object2/turnipslice/turnipslice1.jpg,turnipslice1,turnipslice
Trial # 146/300,Object2/pot/pot3.jpg,pot3,pot
Trial # 147/300,Object2/palmivory/palmivory3.jpg,palmivory3,palmivory
Trial # 148/300,Object2/soaps/soap3BB.jpg,soap3BB,soaps
Trial # 149/300,Object2/clay/clay11.jpg,clay11,clay
Trial # 150/300,Object2/jade/whitejade3.jpg,whitejade3,jade
